Overview,,,,,,,,,,,,,,,,,,
English,Chinese,Czech,Dutch,Finnish,French,German,Greek,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Romanian,Russian,Spanish,Swedish
Subtitle,,Svět napinavých dobrodružstvi,In naam van de Koning! / Wie bouwt het mooiste koninkrijk?,Valtakunta,Votre royaume commence ici!,Was für eine Welt!,Ο κυρίαρχος,A világ legnépszerübb stratégiai kártyajátéka,Nasce un Regno,,,,Rozdarte Królestwo,,Cel mai popular joc de cărți de strategie din lume,,,Spelet om kungadömet
Subtitle translated,,World of adventures,In the name of the king / Who builds the biggest kingdom,Kingdom,Your kingdom begins here!,What a world!,The sovereign,The worlds most popular strategic card game,Create a kingdom,,,,Torned kingdom,,The most popular strategic card game on earth,,,Game towards kingdom
Basic cards,是,ano,ja,kyllä,oui,ja,ναι,igen,si,はい,[yes],ja,tak,sim,da,да,sí,ja
Dominion,皇舆争霸,Dominion,Dominion,Dominion,Dominion,Dominion,Dominion,Dominion,Dominion,ドミニオン,도미니언,Dominion,Dominion,Dominion,Dominion,Доминион,Dominion,Dominion
Intrigue,暗潮洶湧,Intriky,Intrige,Hovin juonet,L'Intrigue,Die Intrige,,Intrika,Intrigo,陰謀,장막 뒤의 사람들,Intrigue,Intryga,,,Интрига,Intriga,
Seaside,海國圖志,Pobřeží,Hijs de Zeilen,Kaukaiset rannat,Rivages,Seaside,,,Seaside,海辺,정복자의 바다,,Przystań,,,Побережье,Terramar,
Alchemy,煉金術士,Alchymie,De Alchemisten,Alkemia,Alchimie,Die Alchemisten,,,Alchimia,錬金術,,,,,,Алхимия,Alquimia,
Prosperity,,Prosperita,Welvaart,Nousukausi,Prospérité,Blütezeit,,,Prosperità,繁栄,,,Złoty Wiek,,,Процветание,Prosperidad,
Cornucopia,,Roh hojnosti,Overvloed,Elonkorjuu,Abondance,Reiche Ernte,,,Cornucopia,収穫祭,,,Róg Obfitości,,,Изобилие,Cornucopia,
Hinterlands,,Vzdálené kraje,Het Achterland,Rajaseudut,L'Arrière-Pays,Hinterland,,,Nuovi orizzonti,異郷,,,,,,Окраины,Comarcas,
Dark Ages,,Temné časy,De Donkere Middeleeuwen,Katovuodet,L'âge des ténèbres,Dark Ages,,,,暗黒時代,암흑의 시대,,,,,Тёмные Времена,Edad Oscura,
Guilds,,,De Gilden,Killat,Guildes,Die Gilden,,,,ギルド,길드를 위하여,,,,,Гильдии,,
Adventures,,,Avonturen,Seikkailut,Aventures,Abenteuer,,,,冒険,,,,,,Приключения,,
Empires,,,Keizerrijken,Keisarikunta,,Empires,,,,帝国,,,Imperium,,,Империи,,
